Date,GLD,S&P500,NASDAQ,上证指数,深圳成指,创业板指数,恒生指数,美国债券
2012-01-04,0.005066700872242307,0.00018793165552128256,-0.00013591470597106248,-0.013653599585345318,-0.024984246794979598,-0.030692254969156937,-0.0079513026416229,-0.0013632645642098126
2012-01-05,0.006827898666326292,0.002943709386988171,0.00811823166034829,-0.009652482956038358,-0.01100852231890786,-0.056851126415974944,0.004597563665043113,0.0013651255915544747
2012-01-06,-0.0036760045633160887,-0.0025369615786926454,0.0016330444292957955,0.006953850450324679,0.003971972940352949,0.003163845196503297,-0.011712390257800078,0.0008179587385258876
2012-01-09,-0.004452926208651327,0.002261682096712422,0.0008750215015967817,0.028889844179736435,0.03609622881444267,0.03497653283907802,0.014664611419529643,-0.000817290228841295
2012-01-10,0.013674121405750712,0.008885765596939082,0.009691544370385888,0.02688812115603193,0.03746441182684277,0.034704370179948714,0.007344538135835667,-0.0002726529128419625
2012-01-11,0.006492687846696932,0.000309578354281539,0.003056429232192495,-0.004239327307567615,-0.004529562289562384,0.002079698513504095,0.007769828691221128,0.0035454545454545504
2012-01-12,0.0044466712594727125,0.0023365932161425957,0.005142469270610308,-0.00045693196546647195,-0.004143211378461886,-0.0112126361534391,-0.0029532256262288664,-0.0008152912401485951
2012-01-13,-0.006983414390821827,-0.004947896565032869,-0.005149190736594761,-0.013375765381251199,-0.01851334593350891,-0.06171378664300095,0.005710281754015748,0.0022665457842248413
2012-01-17,0.00778601029762658,0.00355289390189991,0.006422766327144158,0.023968849406125058,0.025856560867008688,-0.005089478741292316,0.02204336293415796,0.00027137042062416224
2012-01-18,0.0068535825545170985,0.011107933244181198,0.015259816427670783,-0.013922850007396513,-0.016064178996533895,-0.05701006503795151,0.003014609417788501,-0.0012660517272562902
2012-01-19,-0.002351485148514823,0.004938686890309193,0.006722725483895386,0.013104598522754267,0.020290128542544424,0.012625818117808944,0.013005081546529497,-0.001629844259326264
2012-01-20,0.005272298722242863,0.0006694560669456897,-0.000584579300154612,0.01003449357165254,0.01784043818318277,0.02146017699115051,0.008394946585134008,-0.002539452203881744
2012-01-23,0.0067254889862405345,0.0004713466830876939,-0.000907883876987026,0.0,0.0,0.0,0.0,-0.0008183306055646791
2012-01-24,-0.0070482961510174415,-0.001025835866261329,0.0008871584709266315,0.0,0.0,0.0,0.0,0.0008190008190008501
2012-01-25,0.02722054194185542,0.008671509527250494,0.01136494129130425,0.0,0.0,0.0,0.0,0.0014548099654482323
2012-01-26,0.005107559187597781,-0.005746389653482064,-0.0046233380997831135,0.0,0.0,0.0,0.016348282005751284,0.001997457781005982
2012-01-27,0.010163209182758346,-0.0015928035618122587,0.0040174242856328,0.0,0.0,0.0,0.003059326370874647,0.001631025733961642
2012-01-30,-0.005563117713203514,-0.002522163895071856,-0.0016367541850846345,-0.014695229224878372,-0.02020781437840546,0.007534267768185904,-0.016645473271201732,0.002894879681563173
2012-01-31,0.007617687317740886,-0.00045696529348589047,0.000675690092960764,0.0033128522914260424,0.003105171512207666,-0.003946257197696814,0.011412466313929217,0.0017138733537795212
2012-02-01,0.0014765814186994272,0.008899657881302212,0.012235948028317116,-0.010699595657351315,-0.011851262676476461,0.003237343528396163,-0.0028013059028989796,-0.0042323277802791435
2012-02-02,0.008787449870252472,0.0010950917233723126,0.0040059404480614035,0.0196113011886706,0.020529967726812395,0.022465349273179884,0.01997111152750389,0.00027129679869778567
2012-02-03,-0.01993569131832812,0.014605368378170502,0.016078722094779844,0.007714394437333581,0.0058472862772100355,0.022016831980763416,0.0008452490302297716,-0.00045203869451222457
2012-02-06,-0.002743975184919945,-0.0004238233325899053,-0.001263052112084715,0.000317542052866367,0.0012345037983509187,0.00949930152194697,-0.002266225626271301,0.0007235890014471626
2012-02-07,0.015073573393946535,0.002023312728273584,0.0007201954520863772,-0.016832965845037098,-0.019254622887526704,-0.01868872995295049,-0.0005190744154739222,-0.0009942154736080932
2012-02-08,-0.00707130229817318,0.002160276159014203,0.004056362083689224,0.02427243771543266,0.03138870213916275,0.02763923524522029,0.015424275056173718,-0.000814258572333334
2012-02-09,-0.002848664688427239,0.0014741177516370922,0.0038993641670038654,0.0008775180721864876,0.00032958133753519577,0.007930088112090148,-0.0004020275510194718,-0.001629844259326264
2012-02-10,-0.005237471729556147,-0.006886349347239132,-0.007976824506444628,0.0010171987453129578,0.0031618924496350765,0.0015190816721364008,-0.01076391681869727,0.0013604208235079944
2012-02-13,0.002213713054924043,0.006800035750461688,0.009473531964130668,-5.5272578848506e-05,-0.0006130773144710436,0.023052157115260805,0.0049817502619821765,0.00036228602481664935
2012-02-14,-0.002328219210793304,-0.0009395089401303342,0.00015009944087960135,-0.003010396071177978,-0.004308779895420724,-0.0037204878594607835,0.001456859159110291,0.0008148483476686592
2012-02-15,0.005923887027285837,-0.0053831914105886575,-0.005457342342495984,0.009352729692037955,0.0135858119110038,0.01747859048153874,0.021388451861402345,-0.0003618599601954609
2012-02-16,-0.0006543334721314237,0.011025662023629569,0.01509690208276888,-0.004157687919888322,-0.0052318513372699455,-0.0040289755087960805,-0.004116501437148148,-0.00018099547511308617
2012-02-17,-0.003869047619047653,0.002348973520662171,-0.002726489518049803,0.00013577386862168687,-0.0007783573023736034,-0.005583032015848727,0.010073656031222043,-0.001267197682838528
2012-02-21,0.021930086644756593,0.0007199371156968463,-0.00108747941919792,0.010287716678403856,0.008375158860737182,0.026581220395653443,-0.0006002339516517516,-0.001540692405292747
